"id","language","last_import_id","title"
"1700945","1309886","BTM:HOTEL:1A0301:33e8b8bd68d18065f4a556e09751d3aa","Amary City Residence"
"1700945","61435","BTM:HOTEL:1A0301:363a7f89bbf39ccc18237e4655203ae2","Amary City Residence"
"1700993","61435","BTM:HOTEL:1A0326:01ba2f77b66b0169c538eff4700bb30a","Excellent Apartments"
"1700993","1309886","BTM:HOTEL:1A0326:ec97cda8e7976a0b503cfc551fc67a7e","Excellent Appartements"
"1701032","61435","BTM:HOTEL:1A0552:c51503daf8d1b4dcb33c20b681956f3b","Apartcity Serviced Apartments"
"1701032","1309886","BTM:HOTEL:1A0552:ec9facbb9b2fa89bf1ccbab743987d49","Apartcity Serviced Apartments"
"1701074","1309886","BTM:HOTEL:1A0565:4d33e7e0320d7e17df0e50594b03ff97","Art'appart suiten Hotel"
"1701074","61435","BTM:HOTEL:1A0565:bd70254c5b999a1f3dc5b6cdc1937d7b","Art'appart suiten Hotel"
"1701116","61435","BTM:HOTEL:1A0686:a683c902bb09d15b7530164fa9185548","Aparthotel VEGA"
"1701116","1309886","BTM:HOTEL:1A0686:fcf55846152a889e9ac6da097e6c23b4","Aparthotel VEGA"
"1701151","61435","BTM:HOTEL:1A0694:1c254c384c0031caf830b334284ab738","Q-Damm-Apartments"
"1701151","1309886","BTM:HOTEL:1A0694:f7664ae8183647fe3fb9674ce0c5f984","Q-Damm-Apartments"
"1701185","61435","BTM:HOTEL:1A0732:bca36c394f8fd9d4470c20f6e8560bf1","City Apartments Come2friends"
"1701185","1309886","BTM:HOTEL:1A0732:f58c117067911708e7db00fe3e54cd17","City Apartments Come2friends"
"1701226","1309886","BTM:HOTEL:1G0028:19f348672a1e51c281c52d0082485e94","Hansablick Garni"
"1701226","61435","BTM:HOTEL:1G0028:6857d5c189f6d2a5a0a448fe2db90181","Hansablick Garni"
"1701268","61435","BTM:HOTEL:1G0048:3368e766e37fdfb21f1324d5bc14b346","Fasanenhaus"
"1701268","1309886","BTM:HOTEL:1G0048:8ba879e49514212889f7dd9d732e6b40","Fasanenhaus"
"1701303","1309886","BTM:HOTEL:1G0054:3bec957f8de50817ed7b2062351b3493","Holiday Inn Garden Court Berlin-Kurfürstendamm"
"1701303","61435","BTM:HOTEL:1G0054:a3c00c1a67b09de6ba29826dcf1784dc","Holiday Inn Garden Court Berlin-Kurfürstendamm"
"1701342","61435","BTM:HOTEL:1G0103:09849429c9fa1020431af295fd91d12a","Golden Tulip Hotel Park Consul"
"1701342","1309886","BTM:HOTEL:1G0103:5d5d53e8f104749440007a6951fe203e","Golden Tulip Hotel Park Consul"
"1701379","1309886","BTM:HOTEL:1G0134:8007f266254630044ab2ddcd987b5015","Kronprinz Berlin"
"1701379","61435","BTM:HOTEL:1G0134:8ffa2d5b4cf4e204b08a0671582465c1","Kronprinz Berlin"
"1701417","61435","BTM:HOTEL:1G0141:75696bfbb46911cf6d9a7ffbb2659630","Les Nations"
"1701417","1309886","BTM:HOTEL:1G0141:d7c90a1e3ecff02e94aa6ef3b2738211","Les Nations"
"1701455","61435","BTM:HOTEL:1G0145:6dec62d4978d3a00db1a34a00fc3fc05","Askanischer Hof"
"1701455","1309886","BTM:HOTEL:1G0145:de4311159a3ae3763ffaf38abe2b605c","Askanischer Hof"
"1701490","1309886","BTM:HOTEL:1G0163:81705693a468a8aed5192a48d28e6040","Hotel Brandies"
"1701490","61435","BTM:HOTEL:1G0163:a4006885f9b87e1edb90c892c6727e07","Hotel Brandies"
"1701525","1309886","BTM:HOTEL:1G0167:cd7b0db9ecc48233132e750922863938","Arco"
"1701525","61435","BTM:HOTEL:1G0167:ce6610e145ab95078ebc9e2224bbc672","Arco"
"1701558","61435","BTM:HOTEL:1G0168:596191cb5402d754d65c48ef0dd28221","Schöneberg"
"1701558","1309886","BTM:HOTEL:1G0168:83751052f5530f7d38509d48283a3083","Schöneberg"
"1701593","1309886","BTM:HOTEL:1G0178:c4c882454fcc2983e3ba91445400f9d4","Amaryl City-Hotel"
"1701593","61435","BTM:HOTEL:1G0178:dd549513b8567a5e1da1c07367ce8683","Amaryl City-Hotel"
"1701628","1309886","BTM:HOTEL:1G0185:75c158cf2f44ee8bf4b58dc78a4c2c30","Atlanta am Kurfürstendamm"
"1701628","61435","BTM:HOTEL:1G0185:94bd53017887f47c5db03342d84576f3","Atlanta am Kurfürstendamm"
"1701664","1309886","BTM:HOTEL:1G0217:1613c4d924a53f767863468ea1f3e985","Hotel Altberlin Am Potsdamer Platz"
"1701664","61435","BTM:HOTEL:1G0217:ba0ea591f5e082c66324b68df772e269","Hotel Altberlin Am Potsdamer Platz"
"1701703","1309886","BTM:HOTEL:1G0225:0f8fa9aa1d40006e232b164c470437e5","BB Hotel"
"1701703","61435","BTM:HOTEL:1G0225:63771c02428f232f7426bf34deda9ae6","BB Hotel"
