"id","language","last_import_id","title"
"1685692","61435","Tip:Filemaker:10130:080d01d62c39d25cfb5a2fa06ddcdde8","Strandbad Weißensee"
"1634109","61435","Tip:Filemaker:10748:","Kalkscheune"
"1739713","61435","Tip:Filemaker:10769:08c30efc836e747c70162cf864a3cea7","Charlottchen"
"1644606","61435","Tip:Filemaker:10787:f47d5395a53783360261a94f504a7c89","Tomasa in der Villa Kreuzberg"
"1644623","61435","Tip:Filemaker:10822:","Tommy-Weisbecker-Haus"
"1624452","61435","Tip:Filemaker:10848:a1c97cc2eda22c13522f71165a190b0b","Arena Berlin"
"1683838","61435","Tip:Filemaker:10975:5257e62960ae290906a5f14dd6581360","Museum für Kommunikation"
"1628953","61435","Tip:Filemaker:11344:ccf54b461330dc02b7c5f5aec0222bfc","Dachgartenrestaurant Käfer im Deutschen Bundestag"
"1679292","61435","Tip:Filemaker:11357:6171eb9d439f8d5254e099bf71d1fea9","A-Trane"
"1681714","61435","Tip:Filemaker:11392:","FEZ Berlin"
"1633669","61435","Tip:Filemaker:11415:","International"
"1632313","61435","Tip:Filemaker:11501:","Grüner Salon"
"1646499","61435","Tip:Filemaker:11559:4876e801e3d7d7aae71d298cfc7ddccf","Yaam"
"1624480","61435","Tip:Filemaker:11660:f7b8e8715d2398fb9e36b19d314d7801","Arminiusmarkthalle"
"2083851","61435","Tip:Filemaker:11848:a5d2aafc08054e84066c48f881bf1b2b","Tilsiter Lichtspiele"
"1623644","61435","Tip:Filemaker:11875:","Acud e.V."
"1640246","61435","Tip:Filemaker:11886:ef54a3f9235c768749b8f64f81cef26f","PrivatClub"
"1634307","61435","Tip:Filemaker:11895:","Kato"
"1634688","61435","Tip:Filemaker:11897:fd42bd0d9065f5f29e81b1906b89e001","Knaack"
"1641498","61435","Tip:Filemaker:11904:0cb5a853b4627f9888db9640b8302129","Roter Salon"
"1643041","61435","Tip:Filemaker:11909:7448626f925b7b73a48e59caeafa7e3f","SO 36"
"2083805","61435","Tip:Filemaker:11910:2fe6dc04910925f5772b1d328863bbf4","Sophienclub"
"1642581","61435","Tip:Filemaker:11918:","SchwuZ"
"1685972","61435","Tip:Filemaker:11919:ecd00c0ce16390027b15f96c832cff36","The Pips"
"1633406","61435","Tip:Filemaker:11921:a170459bcda25456f091fee056716a2a","Icon"
"1634400","61435","Tip:Filemaker:11931:","Kesselhaus"
"1629909","61435","Tip:Filemaker:11934:85fb3507db8901df7967e205e62c5d97","Duncker"
"1641753","61435","Tip:Filemaker:11939:dc5b9649ad9a843af11649e86ba77c3f","Sage Club"
"1639484","61435","Tip:Filemaker:11954:d9c505cf377131d6977030283d4f561c","Oxymoron"
"1639816","61435","Tip:Filemaker:11963:aa42bd5d9c11a7f471601bb826ab02c3","Pavillon"
"1639929","61435","Tip:Filemaker:11980:2e1bc31b845517a3cbe5a9ee113d59f1","Pfefferberg-Sommergarten"
"1625577","61435","Tip:Filemaker:11988:5ce7b3abad6187eeb68ee88da868fb6e","Bassy Cowboy Club"
"1636865","61435","Tip:Filemaker:11997:bc9dd2a46fbcbad597a37f21dc5e1d64","Magnet"
"1685400","61435","Tip:Filemaker:12026:4f1cc7c9e9154baa1ed0fd2dbacacd09","Silberfisch"
"1646817","61435","Tip:Filemaker:12044:e0264eb82d935a4b3f59466d9c5b0155","Zoulou Bar"
"1786739","61435","Tip:Filemaker:12135:cc6d6db398e6af94ebcde1444599b814","Park Inn Berlin – Alexanderplatz"
"1684653","61435","Tip:Filemaker:12136:84a4bd7de1adfe882676869f9589379b","Restaurant Julius"
"1642725","61435","Tip:Filemaker:12213:7d119c51cff9579b0268ddb2b278f1a3","SET's"
"1629206","61435","Tip:Filemaker:12458:0929c6c24e5bb0155c6272aa855a9568","Deli 31"
"1787091","61435","Tip:Filemaker:12539:9dc28164490f42c7d3723b227c525c6b","The Regent Berlin"
"1626858","61435","Tip:Filemaker:13170:3c8763cf733b75aab3bda25fc2f97e89","Brotgarten Charlottenburg"
"1625969","61435","Tip:Filemaker:13172:2fde61f41a017ff77a830ffd0d0d489d","Beumer & Lutum"
